Id,Name,Protocol,Options

7d2d,7 Days to Die (2013),source,port=26900;port_query_offset=1

ageofchivalry,Age of Chivalry (2007),source,port=27015
alienarena,Alien Arena (2004),quake2,port_query=27910
alienswarm,Alien Swarm (2010),source,port=27015
americasarmy,America's Army (2002),gamespy2,port=1716;port_query_offset=1
americasarmy2,America's Army 2 (2003),gamespy2,port=1716;port_query_offset=1
americasarmy3,America's Army 3 (2009),source,port=8777;port_query=27020
americasarmypg,America's Army: Proving Grounds (2015),source,port=8777;port_query=27020
aoe2,Age of Empires 2 (1999),ase,port_query=27224
arkse,Ark: Survival Evolved (2017),source,port=7777;port_query=27015
arma,ARMA: Armed Assault (2007),gamespy2,port=2302
arma2,ARMA 2 (2009),source,port=2302;port_query_offset=1
arma2oa,ARMA 2: Operation Arrowhead (2010),source,port=2302;port_query_offset=1
arma3,ARMA 3 (2013),source,port=2302;port_query_offset=1
armacwa,ARMA: Cold War Assault (2011),gamespy1,port=2302;port_query_offset=1
armar,ARMA: Resistance (2011),gamespy1,port=2302;port_query_offset=1
armareforger,Arma Reforger (2022),source,port=2001;port_query=17777
asa,Ark: Survival Ascended (2023),asa,port=7777
assettocorsa,Assetto Corsa (2014),assettocorsa,port=9610
atlas,Atlas (2018),source,port=5761;port_query_offset=51800
avp2,Aliens versus Predator 2 (2001),gamespy1,port=27888
avp2010,Aliens vs. Predator (2010),source,port=27015

baldursgate,Baldur's Gate (1998),gamespy1,port=6073;port_query=1470
barotrauma,Barotrauma (2019),source,port=27015;port_query_offset=1
bat1944,Battalion 1944 (2018),source,port=7777;port_query_offset=3
beammp,BeamMP (2021),beammp,port=30814
beyondthewire,Beyond the Wire (2022),source,port=7887;port_query=27165
bf1942,Battlefield 1942 (2002),gamespy1,port=14567;port_query=23000
bf2,Battlefield 2 (2005),gamespy3,port=16567;port_query=29900
bf2142,Battlefield 2142 (2006),gamespy3,port=16567;port_query=29900
bf3,Battlefield 3 (2011),battlefield,port=25200;port_query_offset=22000
bf4,Battlefield 4 (2013),battlefield,port=25200;port_query_offset=22000
bfbc2,Battlefield: Bad Company 2 (2010),battlefield,port=19567;port_query=48888
bfh,Battlefield Hardline (2015),battlefield,port=25200;port_query_offset=22000
bfv,Battlefield Vietnam (2004),gamespy2,port=15567;port_query=23000
bm,Black Mesa (2015),source,port=27015
breach,Breach (2011),source,port=27016
breed,Breed (2004),gamespy2,port=7649
brink,Brink (2011),source,port_query_offset=1

cacrenegade,Command and Conquer: Renegade (2002),gamespy1,port=4848;port_query=25300
callofjuarez,Call of Juarez (2006),ase,port_query=26000
chaser,Chaser (2003),ase,port=3000;port_query_offset=123
chrome,Chrome (2003),ase,port=27015;port_query_offset=123
cod,Call of Duty (2003),quake3,port=28960
cod2,Call of Duty 2 (2005),quake3,port=28960
cod3,Call of Duty 3 (2006),quake3,port=28960
cod4,Call of Duty 4: Modern Warfare (2007),quake3,port=28960
codenameeagle,Codename Eagle (2000),gamespy1,port_query=4711
codmw2,Call of Duty: Modern Warfare 2 (2009),quake3,port=28960
codmw3,Call of Duty: Modern Warfare 3 (2011),source,port_query_offset=2
coduo,Call of Duty: United Offensive (2004),quake3,port=28960
codwaw,Call of Duty: World at War (2008),quake3,port=28960
commandos3,Commandos 3: Destination Berlin (2003),gamespy1,port_query=6500
conanexiles,Conan Exiles (2018),source,port=7777;port_query=27015
contactjack,Contract J.A.C.K. (2003),gamespy1,port_query=27888
contagion,Contagion (2011),source,port=27015
crossracing,Cross Racing Championship Extreme 2005 (2005),ase,port=12321;port_query_offset=123
crysis,Crysis (2007),gamespy3,port=64087
crysis2,Crysis 2 (2011),gamespy3,port=64000
crysiswars,Crysis Wars (2008),gamespy3,port=64100
cs15,Counter-Strike 1.5 (2002),won,port=27015
cs16,Counter-Strike 1.6 (2003),source,port=27015
cs2,Counter-Strike 2 (2023),source,port=27015
cscz,Counter-Strike: Condition Zero (2004),source,port=27015
csgo,Counter-Strike: Global Offensive (2012),source,port=27015
css,Counter-Strike: Source (2004),source,port=27015

daikatana,Daikatana (2000),quake2,port=27982;port_query_offset=10
darkesthour,Darkest Hour: Europe '44-'45 (2008),unreal2,port=7757;port_query_offset=1
dayofdragons,Day of Dragons (2019),source,port_query=27016
daysofwar,Days of War (2017),source,port=27015
dayz,DayZ (2018),source,port=2302;port_query_offset=24714
dayzmod,DayZ Mod (2013),source,port=2302;port_query_offset=1
deadlydozenpt,Deadly Dozen: Pacific Theater (2002),gamespy1,port_query=25300
descent3,Descent 3 (1999),gamespy1,port=2092;port_query=20142
deusex,Deus Ex (2000),gamespy2,port=7791;port_query_offset=1
devastation,Devastation (2003),unreal2,port=7777;port_query_offset=1
dh2005,Deer Hunter 2005 (2004),gamespy2,port=23459;port_query=34567
dinodday,Dino D-Day (2011),source,port=27015
dirttrackracing2,Dirt Track Racing 2 (2002),gamespy1,port=32240;port_query_offset=-100
discord,Discord,discord,
dmomam,Dark Messiah of Might and Magic (2006),source,port=27015
dnl,Dark and Light (2017),source,port=7777;port_query=27015
dod,Day of Defeat (2003),source,port=27015
dods,Day of Defeat: Source (2005),source,port=27015
doi,Day of Infamy (2017),source,port=27015
doom3,Doom 3 (2004),doom3,port=27666
dota2,Dota 2 (2013),source,port=27015
drakan,Drakan: Order of the Flame (1999),gamespy1,port=27045;port_query_offset=1

eco,ECO (2018),eco,port=3001
empyrion,Empyrion - Galactic Survival (2015),source,port=30000;port_query_offset=1
esf,Half Life: Earths Special Forces(2013),source,port=27015
etqw,Enemy Territory: Quake Wars (2007),doom3,port=3074;port_query=27733

f12002,Formula One 2002 (2002),gamespy1,port_query=3297
f1c9902,F1 Challenge '99-'02 (2002),gamespy1,port_query=34397
factorio,Factorio (2016),factorio,port=34197
farcry,Far Cry (2004),ase,port=49001;port_query_offset=123
farcry2,Far Cry 2 (2008),ase,port_query=14001
fear,F.E.A.R. (2005),gamespy2,port_query=27888
fivem,Grand Theft Auto V - FiveM (2013),fivem,port=30120
flashpoint,Operation Flashpoint: Cold War Crisis (2001),gamespy1,port=2302;port_query_offset=1
flashpointresistance,Operation Flashpoint: Resistance (2002),gamespy1,port=2302;port_query_offset=1
forest,The Forest (2014),source,port=27015;port_query_offset=1
fortressforever,Fortress Forever (2007),source,port=27015
front,The Front (2023),front,port=27015
fs22,Farming Simulator 22 (2021),source,port=27015

garrysmod,Garry's Mod (2004),source,port=27015
ges,GoldenEye: Source (2010),source,port=27015
giantscitizenkabuto,Giants: Citizen Kabuto (2000),gamespy1,port_query=8911
globaloperations,Global Operations (2002),gamespy1,port_query=28672
gore,Gore: Ultimate Soldier (2002),gamespy1,port=27777;port_query_offset=1
gportal,GPORTAL,gportal,
graw,Tom Clancy's Ghost Recon Advanced Warfighter (2006),gamespy2,port_query=15250
graw2,Tom Clancy's Ghost Recon Advanced Warfighter 2 (2007),gamespy2,port_query=16250
groundbranch,Ground Branch (2018),source,port=27015
gunmanchronicles,Gunman Chronicles (2000),source,port=27015

had2,Hidden & Dangerous 2 (2003),gamespy1,port=11001;port_query_offset=3
